XII,XI,X,IX,VIII,VII,VI,V,IV,III,II,I,Total,Year
1.7 ,1.2 ,2.4 ,2.4 ,1.9 ,3.2 ,4.7 ,4.2 ,9.1 ,10.0 ,6.2 ,5.6 ,66.4 ,1952
1.9 ,0.5 ,1.0 ,2.0 ,0.5 ,1.5 ,3.1 ,2.1 ,1.6 ,1.1 ,0.6 ,1.7 ,19.1 ,1953
0.0 ,0.4 ,0.0 ,2.3 ,2.3 ,1.4 ,-1.8 ,0.5 ,0.0 ,0.5 ,0.9 ,0.9 ,7.5 ,1954
1.3 ,-0.8 ,-0.4 ,3.5 ,-0.9 ,0.4 ,0.9 ,0.0 ,0.4 ,0.4 ,0.0 ,0.0 ,4.8 ,1955
0.8 ,-4.2 ,-0.4 ,5.3 ,1.2 ,-2.0 ,0.0 ,1.2 ,0.8 ,2.1 ,0.4 ,-0.4 ,4.6 ,1956
-1.5 ,-0.4 ,0.0 ,-0.4 ,1.9 ,2.3 ,-4.4 ,1.9 ,1.5 ,0.8 ,2.0 ,1.6 ,5.2 ,1957
0.4 ,-2.5 ,0.0 ,2.2 ,0.0 ,2.6 ,-3.3 ,1.5 ,1.5 ,-0.4 ,0.7 ,1.5 ,4.2 ,1958
-0.5 ,0.2 ,1.8 ,2.2 ,-0.1 ,-1.3 ,-4.8 ,3.9 ,-0.5 ,0.1 ,0.8 ,0.5 ,2.1 ,1959
-0.7 ,-0.4 ,2.0 ,2.6 ,0.2 ,0.5 ,-2.3 ,2.0 ,-1.2 ,1.0 ,0.2 ,-0.4 ,3.4 ,1960
1.3 ,0.8 ,1.4 ,3.4 ,-0.8 ,-2.2 ,-3.4 ,7.1 ,-0.1 ,0.2 ,-0.8 ,2.3 ,9.0 ,1961
1.1 ,0.7 ,1.1 ,2.3 ,1.2 ,0.9 ,-1.3 ,-1.0 ,1.8 ,2.2 ,0.5 ,0.3 ,10.2 ,1962
0.5 ,1.9 ,0.8 ,2.0 ,-1.6 ,0.1 ,-0.9 ,3.3 ,-1.1 ,0.0 ,0.0 ,0.0 ,5.0 ,1963
1.0 ,0.9 ,1.1 ,0.7 ,-1.0 ,1.4 ,-2.8 ,3.4 ,-0.9 ,-0.1 ,0.0 ,0.8 ,4.4 ,1964
0.1 ,0.5 ,1.0 ,1.3 ,-1.1 ,-0.7 ,-0.5 ,2.1 ,0.8 ,2.0 ,0.5 ,0.9 ,7.1 ,1965
0.7 ,-0.5 ,0.9 ,1.5 ,-1.1 ,0.3 ,-0.3 ,0.4 ,1.8 ,1.7 ,1.1 ,1.3 ,7.8 ,1966
0.7 ,0.4 ,0.8 ,-0.1 ,-0.9 ,-0.8 ,-1.1 ,0.3 ,1.5 ,0.4 ,-0.9 ,-0.1 ,0.2 ,1967
0.4 ,-0.2 ,0.7 ,0.4 ,-0.9 ,0.3 ,-1.1 ,-0.2 ,0.9 ,0.8 ,-0.1 ,0.9 ,1.9 ,1968
0.4 ,0.7 ,1.2 ,0.7 ,-1.9 ,0.1 ,1.0 ,-0.6 ,0.6 ,1.4 ,-0.2 ,0.5 ,3.9 ,1969
0.7 ,0.0 ,2.0 ,4.0 ,0.5 ,-0.4 ,-0.2 ,1.3 ,0.8 ,1.0 ,0.4 ,-0.3 ,10.1 ,1970
1.2 ,1.6 ,2.1 ,3.2 ,0.5 ,-0.5 ,0.2 ,0.5 ,0.8 ,1.3 ,-0.1 ,1.8 ,13.4 ,1971
1.4 ,1.7 ,2.4 ,1.4 ,0.5 ,0.7 ,-1.4 ,1.1 ,1.1 ,2.0 ,-0.5 ,1.4 ,12.4 ,1972
2.7 ,4.4 ,1.8 ,1.7 ,0.6 ,1.7 ,0.3 ,1.4 ,3.9 ,2.5 ,1.0 ,1.9 ,26.4 ,1973
8.1 ,11.6 ,2.5 ,2.0 ,0.5 ,1.4 ,0.3 ,2.7 ,2.7 ,2.7 ,8.1 ,3.5 ,56.2 ,1974
0.8 ,3.2 ,6.3 ,2.1 ,0.0 ,0.5 ,-0.4 ,1.4 ,1.7 ,2.4 ,1.5 ,2.0 ,23.5 ,1975
2.7 ,4.5 ,3.3 ,2.3 ,1.2 ,5.1 ,0.2 ,2.1 ,5.7 ,3.6 ,0.7 ,1.3 ,38.0 ,1976
2.0 ,11.8 ,3.6 ,3.8 ,3.9 ,1.5 ,2.4 ,2.4 ,2.4 ,2.0 ,0.9 ,-0.2 ,42.5 ,1977
3.4 ,6.2 ,5.7 ,3.0 ,2.4 ,2.4 ,2.0 ,1.8 ,5.5 ,3.7 ,1.6 ,2.3 ,48.1 ,1978
8.1 ,9.7 ,7.8 ,8.0 ,8.4 ,5.5 ,3.5 ,4.8 ,8.7 ,5.6 ,2.4 ,4.9 ,111.4 ,1979
6.0 ,9.4 ,11.0 ,7.3 ,8.2 ,4.4 ,4.6 ,9.5 ,10.2 ,5.1 ,4.9 ,7.3 ,132.9 ,1980
5.2 ,5.8 ,9.0 ,8.1 ,3.9 ,6.1 ,2.7 ,3.3 ,10.7 ,4.8 ,5.5 ,7.3 ,101.5 ,1981
5.5 ,6.5 ,8.4 ,7.6 ,7.9 ,9.2 ,6.0 ,6.2 ,10.7 ,5.1 ,5.7 ,8.3 ,131.5 ,1982
