Year,Return,Drawdown,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,2.77,0,0.6,2.16,,,,,,,,,,
2024,1.38,-3.08,-0.16,-1.36,0.85,-2.41,1.68,0.88,2.35,1.45,1.32,-2.46,1.07,-1.68
2023,5.41,-6.03,3.31,-2.9,2.68,0.59,-1.16,-0.22,-0.12,-0.66,-2.48,-1.52,4.54,3.56
2022,-13.11,-15.5,-2.06,-1.14,-2.75,-3.97,0.83,-1.66,2.38,-2.8,-4.18,-1.16,3.67,-0.81
2021,-1.86,-3.64,-0.86,-1.55,-1.27,0.87,0.15,0.9,1.17,-0.19,-1.01,0.07,0.2,-0.31
2020,7.71,-1.59,1.98,1.67,-1.43,2.76,0.67,0.67,1.45,-0.94,-0.1,-0.56,1.21,0.15
2019,8.83,-0.57,1.11,-0.09,1.94,-0.02,1.83,1.25,0.15,2.77,-0.57,0.31,-0.04,-0.07
2018,-0.12,-2.57,-1.24,-1.04,0.69,-0.85,0.68,-0.04,-0.04,0.67,-0.55,-0.86,0.64,1.87
2017,3.57,-0.6,0.19,0.62,-0.04,0.8,0.71,0.05,0.4,0.86,-0.47,-0.03,-0.11,0.54
2016,2.52,-3.68,1.2,0.85,0.88,0.4,-0.01,2.02,0.6,-0.31,0.11,-0.94,-2.57,0.33
2015,0.56,-2.67,2.4,-1.31,0.55,-0.32,-0.5,-1.11,0.88,-0.25,0.81,0.03,-0.39,-0.18
2014,5.82,-0.57,1.55,0.47,-0.17,0.8,1.05,0.08,-0.28,1.14,-0.57,0.72,0.83,0.06
2013,-2.1,-4.01,-0.69,0.54,0.08,1.01,-1.93,-1.65,0.38,-0.86,1.11,0.86,-0.29,-0.64
2012,3.16,-0.88,0.63,0.04,-0.51,1.1,0.93,0.07,1.23,0.16,0.18,-0.1,0.27,-0.88
2011,7.92,-0.38,0.09,0.29,-0.15,1.46,1.18,-0.38,1.63,1.66,0.66,0.11,-0.06,1.18
2010,6.2,-1.7,1.29,0.33,-0.22,1.07,1.13,1.45,0.86,1.56,0,0.32,-0.68,-1.02
2009,3.64,-2.65,-2.08,-0.59,1.09,0.46,0.67,0.62,1.31,1.01,1,0.27,1.3,-1.45
2008,6.86,-3.88,1.25,0.09,0.4,-0.34,-0.99,0.04,0.02,0.84,-0.52,-2.95,3.92,5.13
2007,6.92,-1.16,-0.08,1.5,0.02,0.51,-0.78,-0.39,0.84,1.34,0.72,0.93,1.91,0.22
2006,4.27,-1.3,-0.11,0.37,-1,-0.21,-0.09,0.1,1.35,1.64,0.81,0.72,1.11,-0.48
2005,2.4,-1.9,0.65,-0.63,-0.49,1.35,1.05,0.55,-0.99,1.36,-1.1,-0.81,0.48,0.99
2004,4.24,-3.03,0.86,1.03,0.8,-2.61,-0.43,0.56,0.96,1.94,0.16,0.85,-0.81,0.92
2003,3.97,-3.47,0.05,1.38,-0.13,0.87,1.82,-0.13,-3.34,0.61,2.71,-0.96,0.27,0.88
2002,8.26,-1.46,0.69,0.85,-1.46,1.69,0.8,0.29,0.48,1.66,1.53,-0.61,0.02,2.07
2001,8.43,-1.91,1.76,0.91,0.54,-0.46,0.73,0.52,2.23,1.11,0.89,1.86,-1.34,-0.58
2000,11.39,-0.65,-0.17,1.18,1.4,-0.49,-0.16,2.15,0.88,1.4,0.76,0.57,1.58,1.79
1999,-0.76,-2.64,0.79,-1.77,0.56,0.4,-0.83,-0.55,-0.39,-0.08,1.26,0.33,0.02,-0.48
