Average,More than 25,From 20 to 25,From 15 to 20,From 10 to 15,From 5 to 10,From 1 to 5,Up to and,Starting
5.15,4.99,5.01,4.96,4.93,5.25,5.06,5.68,13/02/2025
5.06,4.90,4.93,4.95,4.86,5.22,5.00,5.49,15/01/2025
5.22,4.97,5.06,5.04,4.97,5.53,5.21,5.62,11/12/2024
5.16,4.93,4.97,4.91,4.91,5.39,5.15,5.6,14/11/2024
5.08,4.92,4.96,4.83,4.88,5.30,5.02,5.58,15/10/2024
5.11,4.95,4.96,4.93,4.91,5.22,5.05,5.54,11/09/2024
5.25,5.02,5.05,5.08,4.96,5.3,5.2,5.68,15/08/2024
5.29,5.11,5.08,5.09,5.02,5.33,5.23,5.70,12/07/2024
5.29,5.16,5.08,5.10,5.08,5.22,5.19,5.72,17/06/2024
5.24,5.20,5.10,5.08,5.03,5.06,5.06,5.78,13/05/2024
5.24,5.24,5.10,5.22,4.99,5.20,5.03,5.76,12/04/2024
5.26,5.23,5.12,5.21,5.02,5.19,4.99,5.90,13/03/2024
5.24,5.20,5.14,5.22,5.00,5.11,4.91,5.98,13/02/2024
5.43,5.33,5.24,5.34,5.17,5.42,5.09,6.17,12/01/2024
5.59,5.33,5.52,5.39,5.35,5.31,5.37,6.28,13/12/2023
5.51,5.10,5.18,5.30,5.10,5.12,5.35,6.35,13/11/2023
5.43,5.03,5.07,5.15,5.02,5.08,5.25,6.36,17/10/2023
5.37,4.96,4.96,5.06,4.94,4.95,5.17,6.33,13/09/2023
5.42,4.95,4.98,5.10,4.95,5.03,5.14,6.35,11/08/2023
5.53,4.99,5.02,5.10,5.01,5.06,5.29,6.40,12/07/2023
5.56,4.99,5.08,5.09,5.11,5.3,5.26,6.27,12/06/2023
5.56,4.96,4.99,5.05,5.06,5.21,5.33,6.11,11/05/2023
5.48,4.93,4.91,4.9,4.92,5.06,5.52,5.88,23/04/2023
5.31,4.96,4.88,4.92,4.81,5.02,5.63,5.55,14/03/2023
5.21,4.98,4.92,4.87,4.83,4.94,5.65,5.38,26/02/2023
4.97,4.98,4.86,4.86,4.73,4.9,5.65,4.97,12/01/2023
4.79,5.04,4.9,4.81,4.76,4.84,5.51,4.68,13/12/2022
4.52,4.9,4.75,4.65,4.54,4.62,5.30,4.35,11/11/2022
4.07,4.75,4.61,4.39,4.27,4.32,4.90,3.73,19/10/2022
3.67,4.69,4.54,4.39,4.24,4.21,4.65,3.21,13/09/2022
3.49,4.74,4.6,4.44,4.24,4.24,4.67,2.88,12/08/2022
3.15,4.54,4.36,4.17,3.96,3.87,4.23,2.41,14/07/2022
2.87,4.28,4.08,3.86,3.63,3.5,4.08,2.11,14/06/2022
2.61,3.97,3.81,3.57,3.31,3.15,3.75,1.80,16/05/2022
2.39,3.71,3.49,3.22,2.99,2.81,3.43,1.61,13/04/2022
2.30,3.54,3.31,3.05,2.79,2.58,3.23,1.59,14/03/2022
2.28,3.53,3.28,3.03,2.73,2.54,3.07,1.64,14/02/2022
2.29,3.56,3.33,3.08,2.76,2.53,3.10,1.60,11/01/2022
2.32,3.63,3.36,3.11,2.81,2.53,3.17,1.65,13/12/2021
2.31,3.56,3.34,3.08,2.78,2.50,3.12,1.68,11/11/2021
2.26,3.53,3.31,3.06,2.73,2.44,3.09,1.63,12/10/2021
2.22,3.52,3.30,3.04,2.74,2.45,2.99,1.59,20/09/2021
2.22,3.54,3.31,3.08,2.75,2.44,3.12,1.58,11/08/2021
2.23,3.57,3.32,3.07,2.75,2.45,3.19,1.59,12/07/2021
2.25,3.56,3.32,3.06,2.76,2.45,3.05,1.61,11/06/2021
2.30,3.59,3.31,3.06,2.74,2.48,3.24,1.64,12/05/2021
2.31,3.55,3.27,3.03,2.70,2.54,3.19,1.65,14/04/2021
2.30,3.50,3.25,3.04,2.71,2.48,3.21,1.60,11/03/2021
2.41,3.54,3.28,3.11,2.82,2.59,3.31,1.66,11/02/2021
2.36,3.51,3.28,3.08,2.80,2.54,3.26,1.52,11/01/2021
2.39,3.55,3.32,3.12,2.80,2.58,3.28,1.55,11/12/2020
2.38,3.51,3.27,3.05,2.74,2.60,3.31,1.56,11/11/2020
2.41,3.51,3.28,3.08,2.76,2.64,3.31,1.58,16/10/2020
2.39,3.53,3.30,3.11,2.79,2.69,3.25,1.59,11/09/2020
2.45,3.58,3.34,3.18,2.92,2.69,3.26,1.62,11/08/2020
2.55,3.78,3.53,3.34,3.05,2.88,3.42,1.71,13/07/2020
2.55,3.96,3.65,3.43,3.19,2.96,3.51,1.67,11/06/2020
2.59,3.87,3.64,3.35,3.13,2.89,3.62,1.64,11/05/2020
2.43,3.55,3.33,3.08,2.83,2.62,3.29,1.62,21/04/2020
2.47,3.65,3.40,3.17,2.88,2.72,3.34,1.68,13/03/2020
2.50,3.72,3.52,3.26,2.94,2.68,3.40,1.68,11/02/2020
2.51,3.74,3.53,3.26,2.95,2.66,3.37,1.69,13/01/2020
2.57,3.82,3.64,3.36,3.03,2.74,3.36,1.73,11/12/2019
2.56,3.90,3.72,3.42,3.07,2.79,3.39,1.73,11/11/2019
2.58,3.95,3.78,3.49,3.17,2.83,3.40,1.70,11/10/2019
2.62,4.13,3.97,3.64,3.27,2.94,3.60,1.71,11/09/2019
2.66,4.31,4.09,3.77,3.36,3.07,3.75,1.74,13/08/2019
2.77,4.39,4.16,3.85,3.51,3.21,3.81,1.81,11/07/2019
2.81,4.42,4.29,3.97,3.59,3.20,3.98,1.82,11/06/2019
2.84,4.59,4.34,4.04,3.65,3.22,3.96,1.88,13/05/2019
2.90,4.62,4.43,4.14,3.71,3.29,4.06,1.90,11/04/2019
2.97,4.76,4.55,4.22,3.85,3.41,4.09,1.94,11/03/2019
3.02,4.76,4.57,4.27,3.84,3.46,4.27,1.95,11/02/2019
2.98,4.71,4.47,4.23,3.80,3.29,4.15,1.89,11/01/2019
2.90,4.73,4.46,4.21,3.81,3.27,4.14,1.77,11/12/2018
2.91,4.70,4.43,4.17,3.78,3.32,4.13,1.81,12/11/2018
2.85,4.65,4.36,4.16,3.70,3.22,4.09,1.78,11/10/2018
2.84,4.62,4.39,4.10,3.72,3.26,4.16,1.72,14/09/2018
2.78,4.61,4.27,4.06,3.57,3.11,4.03,1.65,13/08/2018
2.81,4.52,4.26,4.01,3.57,3.12,3.96,1.69,11/07/2018
2.81,4.45,4.26,3.97,3.52,3.10,3.94,1.69,11/06/2018
2.81,4.48,4.22,3.93,3.50,3.09,3.89,1.68,11/05/2018
2.87,4.56,4.34,4.01,3.52,3.13,3.88,1.73,18/04/2018
2.90,4.55,4.30,3.98,3.51,3.11,3.86,1.78,12/03/2018
2.93,4.61,4.39,4.06,3.51,3.11,3.79,1.81,12/02/2018
2.92,4.60,4.38,4.06,3.53,3.07,3.84,1.72,11/01/2018
3.01,4.72,4.51,4.19,3.72,3.30,3.86,1.85,11/12/2017
3.03,4.84,4.56,4.24,3.76,3.28,3.93,1.86,13/11/2017
3.04,4.85,4.69,4.31,3.75,3.26,3.88,1.87,17/10/2017
3.00,4.87,4.68,4.38,3.83,3.43,3.98,1.82,11/09/2017
3.09,5.09,4.74,4.44,3.87,3.38,4.04,1.84,11/08/2017
3.17,5.10,4.83,4.50,3.94,3.54,4.12,1.81,11/07/2017
3.23,5.06,4.90,4.53,4.00,3.61,4.18,1.83,12/06/2017
3.29,5.16,4.94,4.63,4.16,3.66,4.24,1.91,11/05/2017
3.32,5.19,5.00,4.67,4.26,3.79,4.29,1.83,20/04/2017
3.36,5.22,5.01,4.69,4.25,3.81,4.31,1.89,15/03/2017
3.33,5.14,5.01,4.71,4.25,3.75,4.27,1.81,13/02/2017
3.37,5.15,4.91,4.66,4.21,3.77,4.29,1.69,11/01/2017
3.28,4.95,4.78,4.48,4.06,3.65,4.05,1.70,12/12/2016
3.19,4.91,4.66,4.42,3.98,3.60,3.92,1.66,11/11/2016
3.13,4.76,4.59,4.31,3.91,3.54,3.83,1.58,14/10/2016
2.94,4.61,4.43,4.16,3.71,3.34,3.65,1.45,12/09/2016
2.89,4.50,4.35,4.11,3.69,3.25,3.51,1.43,11/08/2016
2.78,4.35,4.17,3.97,3.52,3.13,3.41,1.37,11/07/2016
2.75,4.25,4.11,3.90,3.52,3.06,3.30,1.39,13/06/2016
2.75,4.23,4.07,3.86,3.48,3.00,3.28,1.38,11/05/2016
2.68,4.10,3.97,3.78,3.39,2.99,3.17,1.37,11/04/2016
2.64,4.10,3.97,3.80,3.43,3.01,3.13,1.42,11/03/2016
2.60,4.16,4.04,3.81,3.39,2.94,3.18,1.34,11/02/2016
2.54,4.15,4.01,3.77,3.34,2.83,3.12,1.32,11/01/2016
2.48,4.12,3.97,3.70,3.26,2.76,3.02,1.27,11/12/2015
2.46,4.18,4.02,3.81,3.33,2.84,3.01,1.27,11/11/2015
2.50,4.18,4.01,3.82,3.32,2.83,3.11,1.25,12/10/2015
2.46,4.18,4.02,3.82,3.33,2.81,3.01,1.20,11/09/2015
